sample_collect_date,site,counties_served,population_served,pcr_target_avg_conc,pcr_target_flowpop_lin,pcr_target_detect
2022-11-29,340,Fulton,105160,34311.20698,,yes
2022-11-29,336,Fulton,84486,63320.31297,,yes
2022-11-29,339,Fulton,600000,10176.74946,,yes
2022-11-30,337,Fulton,189593,92275.42567,,yes
2022-11-30,338,Fulton,190000,35685.61178,,yes
2022-11-30,326,Fulton,12818,73419.7505,,yes
2022-11-30,346,"Chattahoochee, Muscogee",278000,30138.44061,,yes
2022-11-30,336,Fulton,84486,73386.26801,,yes
2022-12-01,341,Fulton,70887,31472.14702,,yes
2022-12-01,340,Fulton,105160,8021.36179,,yes
2022-12-01,339,Fulton,600000,24703.56648,,yes
2022-12-02,346,"Chattahoochee, Muscogee",278000,33091.94478,,yes
2022-12-04,341,Fulton,70887,45502.31858,,yes
2022-12-04,339,Fulton,600000,12846.64994,,yes
2022-12-04,340,Fulton,105160,18047.77456,,yes
2022-12-05,337,Fulton,189593,54426.00518,,yes
2022-12-05,338,Fulton,190000,25115.16038,,yes
2022-12-05,346,"Chattahoochee, Muscogee",278000,16007.5005,,yes
2022-12-05,326,Fulton,12818,82731.39835,,yes
2022-12-05,336,Fulton,84486,57161.48794,,yes
2022-12-06,337,Fulton,189593,49749.92248,,yes
2022-12-06,338,Fulton,190000,27100.4831,,yes
2022-12-06,326,Fulton,12818,29018.8111,,yes
2022-12-06,340,Fulton,105160,56723.95494,,yes
2022-12-06,336,Fulton,84486,33417.0736,,yes
2022-12-06,341,Fulton,70887,9218.84647,,yes
2022-12-06,339,Fulton,600000,20773.71905,,yes
2022-12-07,326,Fulton,12818,6612.10321,,yes
2022-12-07,346,"Chattahoochee, Muscogee",278000,6062.16493,,yes
2022-12-07,336,Fulton,84486,38544.50978,,yes
2022-12-07,337,Fulton,189593,37517.93737,,yes
2022-12-07,338,Fulton,190000,37080.92547,,yes
2022-12-08,339,Fulton,600000,12501.16358,,yes
2022-12-08,346,"Chattahoochee, Muscogee",278000,7429.25765,,yes
2022-12-08,341,Fulton,70887,21218.32371,,yes
2022-12-08,340,Fulton,105160,51197.44936,,yes
2022-12-11,341,Fulton,70887,31390.52048,,yes
2022-12-11,340,Fulton,105160,9536.22702,,yes
2022-12-11,339,Fulton,600000,11035.01725,,yes
2022-12-12,326,Fulton,12818,10293.38698,,yes
2022-12-12,346,"Chattahoochee, Muscogee",278000,6273.46047,,yes
2022-12-12,336,Fulton,84486,92034.20277,,yes
2022-12-12,337,Fulton,189593,21488.45826,,yes
2022-12-12,338,Fulton,190000,9927.08865,,yes
2022-12-13,337,Fulton,189593,38931.10344,,yes
2022-12-13,326,Fulton,12818,24010.82699,,yes
2022-12-13,339,Fulton,600000,0.0,,no
2022-12-13,340,Fulton,105160,12899.63159,,yes
2022-12-13,341,Fulton,70887,15521.88493,,yes
2022-12-13,338,Fulton,190000,19169.97949,,yes
2022-12-13,336,Fulton,84486,25383.33869,,yes
2022-12-14,337,Fulton,189593,24836.85593,,yes
2022-12-14,346,"Chattahoochee, Muscogee",278000,4284.02992,,yes
2022-12-14,338,Fulton,190000,26824.8121,,yes
2022-12-14,336,Fulton,84486,37869.68494,,yes
2022-12-14,326,Fulton,12818,18222.44833,,yes
2022-12-15,340,Fulton,105160,11354.24948,,yes
2022-12-15,341,Fulton,70887,10322.48775,,yes
2022-12-15,339,Fulton,600000,16150.74111,,yes
2022-12-16,346,"Chattahoochee, Muscogee",278000,4949.24945,,yes
2022-12-18,339,Fulton,600000,2615.1906,,yes
2022-12-18,340,Fulton,105160,26532.10025,,yes
2022-12-18,341,Fulton,70887,22151.78074,,yes
2022-12-19,338,Fulton,190000,5153.02431,,yes
2022-12-19,346,"Chattahoochee, Muscogee",278000,7023.71006,,yes
2022-12-19,337,Fulton,189593,10325.85524,,yes
2022-12-19,326,Fulton,12818,22969.82908,,yes
2022-12-19,336,Fulton,84486,39863.89533,,yes
2022-12-20,340,Fulton,105160,18628.76994,,yes
2022-12-20,339,Fulton,600000,8445.01712,,yes
2022-12-20,336,Fulton,84486,169403.53976,,yes
2022-12-20,338,Fulton,190000,10467.47379,,yes
2022-12-20,326,Fulton,12818,92165.88219,,yes
2022-12-20,337,Fulton,189593,9945.96313,,yes
2022-12-20,341,Fulton,70887,12346.50688,,yes
2022-12-21,337,Fulton,189593,27167.81222,,yes
2022-12-21,326,Fulton,12818,30223.9999,,yes
2022-12-21,336,Fulton,84486,65409.26179,,yes
2022-12-21,346,"Chattahoochee, Muscogee",278000,7037.431,,yes
2022-12-21,338,Fulton,190000,68615.34118,,yes
2022-12-22,339,Fulton,600000,9338.60892,,yes
2022-12-22,340,Fulton,105160,45191.82311,,yes
2022-12-22,341,Fulton,70887,34205.19401,,yes
2022-12-23,346,"Chattahoochee, Muscogee",278000,9436.5326,,yes
2022-12-26,337,Fulton,189593,27366.91177,,yes
2022-12-26,338,Fulton,190000,15952.73393,,yes
2022-12-26,336,Fulton,84486,19176.17496,,yes
2022-12-26,326,Fulton,12818,18450.05915,,yes
2022-12-27,337,Fulton,189593,16364.80636,,yes
2022-12-27,338,Fulton,190000,45462.23535,,yes
2022-12-27,339,Fulton,600000,2318.38468,,yes
2022-12-27,336,Fulton,84486,20909.44563,,yes
2022-12-27,340,Fulton,105160,28698.06707,,yes
2022-12-27,326,Fulton,12818,28618.20944,,yes
2022-12-27,341,Fulton,70887,12308.67764,,yes
2022-12-28,338,Fulton,190000,30034.27717,,yes
2022-12-28,336,Fulton,84486,108164.42631,,yes
2022-12-28,346,"Chattahoochee, Muscogee",278000,4257.52461,,yes
2022-12-28,341,Fulton,70887,9146.54265,,yes
2022-12-28,339,Fulton,600000,7999.9944,,yes
2022-12-28,337,Fulton,189593,28227.72897,,yes
2022-12-28,340,Fulton,105160,48978.91733,,yes
2022-12-28,326,Fulton,12818,35305.79299,,yes
2022-12-30,339,Fulton,600000,4073.80067,,yes
2022-12-30,340,Fulton,105160,73852.71413,,yes
2022-12-30,341,Fulton,70887,11723.1098,,yes
2022-12-30,346,"Chattahoochee, Muscogee",278000,5968.23706,,yes
2023-01-02,337,Fulton,189593,16239.67621,,yes
2023-01-02,338,Fulton,190000,11789.01394,,yes
2023-01-02,326,Fulton,12818,33382.45073,,yes
2023-01-02,336,Fulton,84486,62798.60995,,yes
2023-01-02,346,"Chattahoochee, Muscogee",278000,11481.43214,,yes
2023-01-03,338,Fulton,190000,8045.82853,,yes
2023-01-03,336,Fulton,84486,60454.6931,,yes
2023-01-03,340,Fulton,105160,9300.79931,,yes
2023-01-03,326,Fulton,12818,10623.39802,,yes
2023-01-03,337,Fulton,189593,20562.6431,,yes
2023-01-03,341,Fulton,70887,13576.58463,,yes
2023-01-03,339,Fulton,600000,0.0,,no
2023-01-04,346,"Chattahoochee, Muscogee",278000,11739.07813,,yes
2023-01-04,338,Fulton,190000,13810.51503,,yes
2023-01-04,336,Fulton,84486,20126.0889,,yes
2023-01-04,326,Fulton,12818,17242.59207,,yes
2023-01-04,337,Fulton,189593,30305.66307,,yes
2023-01-05,339,Fulton,600000,10840.09005,,yes
2023-01-05,340,Fulton,105160,4973.53206,,yes
2023-01-05,341,Fulton,70887,8720.79579,,yes
2023-01-06,346,"Chattahoochee, Muscogee",278000,5799.4419,,yes
2023-01-08,340,Fulton,105160,15489.43215,,yes
2023-01-08,341,Fulton,70887,30209.05226,,yes
2023-01-08,339,Fulton,600000,7573.30049,,yes
2023-01-09,326,Fulton,12818,6488.74707,,yes
2023-01-09,336,Fulton,84486,27670.69999,,yes
2023-01-09,346,"Chattahoochee, Muscogee",278000,2870.39659,,yes
2023-01-09,337,Fulton,189593,4826.91054,,yes
2023-01-09,338,Fulton,190000,19985.24754,,yes
2023-01-10,340,Fulton,105160,7742.97449,,yes
2023-01-10,338,Fulton,190000,17026.55815,,yes
2023-01-10,326,Fulton,12818,17420.29989,,yes
2023-01-10,341,Fulton,70887,23843.83614,,yes
2023-01-10,336,Fulton,84486,25079.95499,,yes
2023-01-10,339,Fulton,600000,3270.5609,,yes
2023-01-10,337,Fulton,189593,16106.74681,,yes
2023-01-11,337,Fulton,189593,17440.65517,,yes
2023-01-11,326,Fulton,12818,14160.19488,,yes
2023-01-11,338,Fulton,190000,9480.28806,,yes
2023-01-11,346,"Chattahoochee, Muscogee",278000,4764.98232,,yes
2023-01-11,336,Fulton,84486,6009.48033,,yes
2023-01-12,340,Fulton,105160,13297.35307,,yes
2023-01-12,341,Fulton,70887,0.0,,no
2023-01-12,339,Fulton,600000,3338.13945,,yes
2023-01-12,346,"Chattahoochee, Muscogee",278000,4433.12616,,yes
2023-01-16,337,Fulton,189593,3703.39732,,yes
2023-01-16,338,Fulton,190000,0.0,,no
2023-01-16,326,Fulton,12818,29354.9154,,yes
2023-01-16,336,Fulton,84486,17664.14037,,yes
2023-01-17,326,Fulton,12818,65403.70455,,yes
2023-01-17,341,Fulton,70887,0.0,,no
2023-01-17,339,Fulton,600000,12301.10513,,yes
