geo,origin_week,calendar_week,prediction_week,prediction_lead,actual,predicted,APE,model,lambda,n_nonzero_search,train_n,reporting_lag,transform,case_lags
MX,2019-04-14,2019-05-12,2019-05-05,3,933,654.5494098302275,29.844650607692653,argo,0.11128924187742674,0,224,4,log1p,"1,2,3,52,104"
MX,2019-04-14,2019-05-12,2019-05-12,4,1330,682.3966884305934,48.69197831348922,argo,0.11128924187742674,0,224,4,log1p,"1,2,3,52,104"
MX,2019-04-21,2019-05-19,2019-04-28,1,775,577.5023640857789,25.48356592441562,ar,NA,0,225,4,log1p,"1,2,3,52,104"
MX,2019-04-21,2019-05-19,2019-05-05,2,933,539.4103114708265,42.18538998169062,ar,NA,0,225,4,log1p,"1,2,3,52,104"
MX,2019-04-21,2019-05-19,2019-05-12,3,1330,523.1832153010257,60.66291614278002,ar,NA,0,225,4,log1p,"1,2,3,52,104"
MX,2019-04-21,2019-05-19,2019-05-19,4,1349,548.102114484455,59.36974688773498,ar,NA,0,225,4,log1p,"1,2,3,52,104"
MX,2019-04-21,2019-05-19,2019-04-28,1,775,767.3729920837005,0.9841300537160613,argo,0.1099422637047325,0,225,4,log1p,"1,2,3,52,104"
MX,2019-04-21,2019-05-19,2019-05-05,2,933,807.2854775341783,13.474225344675423,argo,0.1099422637047325,0,225,4,log1p,"1,2,3,52,104"
MX,2019-04-21,2019-05-19,2019-05-12,3,1330,824.8202989358253,37.98343617023869,argo,0.1099422637047325,0,225,4,log1p,"1,2,3,52,104"
MX,2019-04-21,2019-05-19,2019-05-19,4,1349,845.9505683497251,37.290543487789094,argo,0.1099422637047325,0,225,4,log1p,"1,2,3,52,104"
MX,2019-04-28,2019-05-26,2019-05-05,1,933,640.3043858163325,31.371448465559222,ar,NA,0,226,4,log1p,"1,2,3,52,104"
MX,2019-04-28,2019-05-26,2019-05-12,2,1330,595.3777900560677,55.23475262736333,ar,NA,0,226,4,log1p,"1,2,3,52,104"
MX,2019-04-28,2019-05-26,2019-05-19,3,1349,598.277979055384,55.65026100404863,ar,NA,0,226,4,log1p,"1,2,3,52,104"
MX,2019-04-28,2019-05-26,2019-05-26,4,1548,626.2045462733121,59.5475099306646,ar,NA,0,226,4,log1p,"1,2,3,52,104"
