geo,origin_week,calendar_week,model,train_n,reporting_lag,n_leads,R2,MAPE,lambda,n_nonzero_search
MX,2019-07-07,2019-08-04,ar,236,4,4,-12.769944762344142,55.51246524976789,NA,0
MX,2019-07-07,2019-08-04,argo,236,4,4,-6.294142106414386,37.67760698831353,0.09873499821257256,0
MX,2019-07-14,2019-08-11,ar,237,4,4,-8.177276987367843,57.227883475833885,NA,0
MX,2019-07-14,2019-08-11,argo,237,4,4,-4.378451177128663,39.8673156084852,0.09726254253260525,0
MX,2019-07-21,2019-08-18,ar,238,4,4,-7.91597580380799,61.729987094255364,NA,0
MX,2019-07-21,2019-08-18,argo,238,4,4,-5.120723512596887,47.93286501392386,0.09604501309395434,0
MX,2019-07-28,2019-08-25,ar,239,4,4,-6.764259274325748,62.520317898289655,NA,0
MX,2019-07-28,2019-08-25,argo,239,4,4,-4.455463604960775,48.66633641316743,0.09409683962805755,0
MX,2019-08-04,2019-09-01,ar,240,4,4,-7.959348420031953,64.73823656974825,NA,0
MX,2019-08-04,2019-09-01,argo,240,4,4,-5.7642004875096315,53.50297055846491,0.0922843268658311,0
MX,2019-08-11,2019-09-08,ar,241,4,4,-12.799427624832504,63.65130871467628,NA,0
MX,2019-08-11,2019-09-08,argo,241,4,4,-9.098701114605795,52.452152182334665,0.08999687068004113,0
MX,2019-08-18,2019-09-15,ar,242,4,4,-42.08626073988964,60.351680623573465,NA,0
MX,2019-08-18,2019-09-15,argo,242,4,4,-27.410686143830233,48.041312115725944,0.08778095036438067,0
MX,2019-08-25,2019-09-22,ar,243,4,4,-22.859425834296932,53.30808651615266,NA,0
MX,2019-08-25,2019-09-22,argo,243,4,4,-14.447550972944331,41.36918798949723,0.08555630782446853,0
MX,2019-09-01,2019-09-29,ar,244,4,4,-16.984815033806704,45.54734085065731,NA,0
MX,2019-09-01,2019-09-29,argo,244,4,4,-9.291828554919467,31.954834033835233,0.08471621590740973,0
MX,2019-09-08,2019-10-06,ar,245,4,4,-13.893259136813798,42.18246775199936,NA,0
MX,2019-09-08,2019-10-06,argo,245,4,4,-8.175699422395766,30.54791725260782,0.08376039475339186,0
MX,2019-09-15,2019-10-13,ar,246,4,4,-142.92973432235434,47.813244546596835,NA,0
MX,2019-09-15,2019-10-13,argo,246,4,4,-113.1612899775436,42.143343556783655,0.0823299808421654,0
MX,2019-09-22,2019-10-20,ar,247,4,4,-114.43703371737926,34.57344228777191,NA,0
MX,2019-09-22,2019-10-20,argo,247,4,4,-16.54021539807687,13.310965490892087,0.05169558309732012,4
MX,2019-09-29,2019-10-27,ar,248,4,4,-14.906139262113175,29.185521485476595,NA,0
MX,2019-09-29,2019-10-27,argo,248,4,4,-0.41921297524839485,8.214633515677143,0.04642894360344209,4
MX,2019-10-06,2019-11-03,ar,249,4,4,-2.0468831357161954,20.851714233028236,NA,0
MX,2019-10-06,2019-11-03,argo,249,4,4,0.7863015865221594,4.630484992536117,0.0457990186263732,4
MX,2019-10-13,2019-11-10,ar,250,4,4,0.6425479915673666,9.278823868964997,NA,0
MX,2019-10-13,2019-11-10,argo,250,4,4,0.7950084831208591,7.7546299272172465,0.04513680635462839,4
MX,2019-10-20,2019-11-17,ar,251,4,4,0.8900684745384175,9.570689695644733,NA,0
MX,2019-10-20,2019-11-17,argo,251,4,4,0.4635452588399481,21.022754653077246,0.04440667283436676,4
MX,2019-10-27,2019-11-24,ar,252,4,4,0.8266585202143919,10.109258361274762,NA,0
MX,2019-10-27,2019-11-24,argo,252,4,4,0.3664493744574646,23.107868076612302,0.04367675017054384,3
MX,2019-11-03,2019-12-01,ar,253,4,4,0.3433954294560979,12.912517302979476,NA,0
MX,2019-11-03,2019-12-01,argo,253,4,4,-0.7443882988628336,24.06398942588147,0.04724093894472891,3
MX,2019-11-10,2019-12-08,ar,254,4,4,-0.40398219396621915,12.679589263245699,NA,0
MX,2019-11-10,2019-12-08,argo,254,4,4,-1.038310539464042,13.218758929262606,0.0466353999012129,3
MX,2019-11-17,2019-12-15,ar,255,4,4,0.1355850766161879,19.796790707565624,NA,0
MX,2019-11-17,2019-12-15,argo,255,4,4,0.7688366991407657,9.309433565541708,0.047121761342214546,3
MX,2019-11-24,2019-12-22,ar,256,4,4,0.849876921559424,21.465648599657648,NA,0
MX,2019-11-24,2019-12-22,argo,256,4,4,0.7063679330129475,34.64886194736687,0.04682748372894222,3
